task,partition,num_dialogue_tokens,num_note_tokens
TaskA,train,54,6
TaskA,train,197,61
TaskA,train,28,5
TaskA,train,104,41
TaskA,train,131,62
TaskA,train,53,15
TaskA,train,158,37
TaskA,train,51,14
TaskA,train,355,217
TaskA,train,19,4
TaskA,train,231,51
TaskA,train,118,49
TaskA,train,106,8
TaskA,train,55,28
TaskA,train,46,12
TaskA,train,49,4
TaskA,train,13,7
TaskA,train,118,29
TaskA,train,19,7
TaskA,train,242,93
TaskA,train,253,149
TaskA,train,48,14
TaskA,train,255,112
TaskA,train,57,22
TaskA,train,113,30
TaskA,train,80,2
TaskA,train,42,6
TaskA,train,35,21
TaskA,train,148,47
TaskA,train,337,109
TaskA,train,514,466
TaskA,train,24,7
TaskA,train,95,4
TaskA,train,171,43
TaskA,train,283,119
TaskA,train,263,104
TaskA,train,15,2
TaskA,train,104,61
TaskA,train,89,27
TaskA,train,115,42
TaskA,train,39,3
TaskA,train,131,42
TaskA,train,93,42
TaskA,train,29,5
TaskA,train,20,7
TaskA,train,52,11
TaskA,train,272,120
TaskA,train,31,5
TaskA,train,59,14
TaskA,train,32,4
TaskA,train,250,204
TaskA,train,122,50
TaskA,train,75,2
TaskA,train,89,14
TaskA,train,232,92
TaskA,train,96,15
TaskA,train,47,16
TaskA,train,29,7
TaskA,train,67,7
TaskA,train,97,28
TaskA,train,129,21
TaskA,train,457,246
TaskA,train,23,2
TaskA,train,54,23
TaskA,train,53,7
TaskA,train,73,28
TaskA,train,223,91
TaskA,train,324,188
TaskA,train,122,9
TaskA,train,28,7
TaskA,train,42,11
TaskA,train,376,164
TaskA,train,153,27
TaskA,train,293,164
TaskA,train,27,14
TaskA,train,393,143
TaskA,train,90,29
TaskA,train,127,71
TaskA,train,147,4
TaskA,train,129,39
TaskA,train,101,55
TaskA,train,79,4
TaskA,train,207,130
TaskA,train,70,38
TaskA,train,18,2
TaskA,train,159,52
TaskA,train,144,61
TaskA,train,68,22
TaskA,train,636,293
TaskA,train,59,4
TaskA,train,43,4
TaskA,train,78,4
TaskA,train,64,34
TaskA,train,54,15
TaskA,train,80,43
TaskA,train,45,6
TaskA,train,78,27
TaskA,train,567,193
TaskA,train,366,143
TaskA,train,166,25
TaskA,train,75,8
TaskA,train,153,47
TaskA,train,72,29
TaskA,train,65,22
TaskA,train,34,5
TaskA,train,106,40
TaskA,train,190,12
TaskA,train,46,5
TaskA,train,74,12
TaskA,train,52,17
TaskA,train,180,63
TaskA,train,95,6
TaskA,train,281,100
TaskA,train,153,7
TaskA,train,78,27
TaskA,train,624,402
TaskA,train,26,10
TaskA,train,104,27
TaskA,train,15,2
TaskA,train,72,23
TaskA,train,129,22
TaskA,train,23,5
TaskA,train,155,188
TaskA,train,158,110
TaskA,train,205,65
TaskA,train,41,10
TaskA,train,82,12
TaskA,train,16,2
TaskA,train,420,185
TaskA,train,51,17
TaskA,train,293,126
TaskA,train,87,18
TaskA,train,32,13
TaskA,train,315,167
TaskA,train,23,4
TaskA,train,447,190
TaskA,train,753,368
TaskA,train,189,172
TaskA,train,65,33
TaskA,train,51,3
TaskA,train,84,27
TaskA,train,50,4
TaskA,train,71,18
TaskA,train,264,198
TaskA,train,93,51
TaskA,train,23,4
TaskA,train,258,121
TaskA,train,71,19
TaskA,train,41,16
TaskA,train,23,4
TaskA,train,18,5
TaskA,train,157,16
TaskA,train,34,16
TaskA,train,32,6
TaskA,train,44,2
TaskA,train,66,8
TaskA,train,139,39
TaskA,train,758,296
TaskA,train,274,70
TaskA,train,934,329
TaskA,train,47,7
TaskA,train,64,14
TaskA,train,50,19
TaskA,train,43,7
TaskA,train,297,14
TaskA,train,167,40
TaskA,train,24,5
TaskA,train,41,13
TaskA,train,85,30
TaskA,train,42,8
TaskA,train,290,81
TaskA,train,56,2
TaskA,train,26,9
TaskA,train,39,20
TaskA,train,131,45
TaskA,train,87,21
TaskA,train,61,11
TaskA,train,33,3
TaskA,train,235,149
TaskA,train,59,4
TaskA,train,80,14
TaskA,train,122,22
TaskA,train,92,8
TaskA,train,468,201
TaskA,train,61,5
TaskA,train,344,193
TaskA,train,1045,647
TaskA,train,102,35
TaskA,train,16,7
TaskA,train,262,148
TaskA,train,38,3
TaskA,train,22,10
TaskA,train,57,13
TaskA,train,42,3
TaskA,train,320,252
TaskA,train,156,84
TaskA,train,604,223
TaskA,train,35,5
TaskA,train,427,165
TaskA,train,228,54
TaskA,train,41,17
TaskA,train,252,18
TaskA,train,108,57
TaskA,train,85,54
TaskA,train,80,29
TaskA,train,167,87
TaskA,train,83,8
TaskA,train,21,2
TaskA,train,290,86
TaskA,train,56,21
TaskA,train,86,14
TaskA,train,292,86
TaskA,train,42,5
TaskA,train,447,259
TaskA,train,46,22
TaskA,train,70,14
TaskA,train,142,15
TaskA,train,48,17
TaskA,train,186,172
TaskA,train,69,3
TaskA,train,49,10
TaskA,train,311,106
TaskA,train,49,36
TaskA,train,146,21
TaskA,train,241,53
TaskA,train,387,134
TaskA,train,243,116
TaskA,train,236,96
TaskA,train,22,4
TaskA,train,56,26
TaskA,train,58,9
TaskA,train,74,18
TaskA,train,41,15
TaskA,train,28,2
TaskA,train,207,44
TaskA,train,59,18
TaskA,train,154,12
TaskA,train,88,21
TaskA,train,239,46
TaskA,train,111,49
TaskA,train,277,106
TaskA,train,58,17
TaskA,train,168,141
TaskA,train,90,33
TaskA,train,329,242
TaskA,train,59,30
TaskA,train,40,13
TaskA,train,197,150
TaskA,train,144,81
TaskA,train,75,20
TaskA,train,63,21
TaskA,train,46,6
TaskA,train,76,38
TaskA,train,56,39
TaskA,train,287,166
TaskA,train,61,6
TaskA,train,106,6
TaskA,train,81,16
TaskA,train,26,16
TaskA,train,69,34
TaskA,train,315,156
TaskA,train,276,26
TaskA,train,91,8
TaskA,train,21,3
TaskA,train,53,10
TaskA,train,245,45
TaskA,train,333,145
TaskA,train,34,2
TaskA,train,861,353
TaskA,train,248,106
TaskA,train,18,4
TaskA,train,61,10
TaskA,train,103,24
TaskA,train,259,112
TaskA,train,58,19
TaskA,train,112,31
TaskA,train,131,7
TaskA,train,117,3
TaskA,train,81,53
TaskA,train,47,26
TaskA,train,738,187
TaskA,train,41,8
TaskA,train,159,71
TaskA,train,115,41
TaskA,train,314,45
TaskA,train,65,24
TaskA,train,133,41
TaskA,train,72,30
TaskA,train,953,399
TaskA,train,52,15
TaskA,train,148,4
TaskA,train,221,26
TaskA,train,28,4
TaskA,train,140,16
TaskA,train,133,29
TaskA,train,115,56
TaskA,train,54,4
TaskA,train,479,275
TaskA,train,99,30
TaskA,train,17,2
TaskA,train,356,230
TaskA,train,83,11
TaskA,train,99,38
TaskA,train,178,68
TaskA,train,36,2
TaskA,train,142,43
TaskA,train,140,51
TaskA,train,168,20
TaskA,train,160,35
TaskA,train,140,21
TaskA,train,121,19
TaskA,train,287,78
TaskA,train,179,10
TaskA,train,21,2
TaskA,train,150,19
TaskA,train,153,35
TaskA,train,41,28
TaskA,train,34,8
TaskA,train,166,12
TaskA,train,83,40
TaskA,train,131,72
TaskA,train,23,8
TaskA,train,17,2
TaskA,train,86,49
TaskA,train,13,5
TaskA,train,143,2
TaskA,train,367,170
TaskA,train,113,42
TaskA,train,37,11
TaskA,train,159,15
TaskA,train,104,47
TaskA,train,110,10
TaskA,train,176,40
TaskA,train,223,69
TaskA,train,96,13
TaskA,train,222,79
TaskA,train,17,2
TaskA,train,40,5
TaskA,train,265,152
TaskA,train,32,4
TaskA,train,81,35
TaskA,train,44,6
TaskA,train,49,13
TaskA,train,368,182
TaskA,train,205,100
TaskA,train,44,12
TaskA,train,22,2
TaskA,train,77,14
TaskA,train,27,17
TaskA,train,11,5
TaskA,train,55,22
TaskA,train,182,37
TaskA,train,57,11
TaskA,train,48,4
TaskA,train,190,71
TaskA,train,69,25
TaskA,train,151,7
TaskA,train,59,5
TaskA,train,668,407
TaskA,train,128,30
TaskA,train,50,10
TaskA,train,64,14
TaskA,train,565,409
TaskA,train,275,131
TaskA,train,294,127
TaskA,train,37,7
TaskA,train,453,174
TaskA,train,47,16
TaskA,train,77,25
TaskA,train,193,78
TaskA,train,29,5
TaskA,train,68,20
TaskA,train,136,65
TaskA,train,288,92
TaskA,train,74,11
TaskA,train,105,7
TaskA,train,221,143
TaskA,train,48,10
TaskA,train,332,191
TaskA,train,151,34
TaskA,train,92,42
TaskA,train,84,26
TaskA,train,192,6
TaskA,train,54,9
TaskA,train,85,5
TaskA,train,192,25
TaskA,train,123,40
TaskA,train,158,96
TaskA,train,522,118
TaskA,train,60,6
TaskA,train,219,15
TaskA,train,71,21
TaskA,train,50,27
TaskA,train,327,95
TaskA,train,231,96
TaskA,train,92,13
TaskA,train,38,7
TaskA,train,417,149
TaskA,train,54,16
TaskA,train,75,33
TaskA,train,57,20
TaskA,train,44,16
TaskA,train,123,40
TaskA,train,392,173
TaskA,train,107,25
TaskA,train,292,115
TaskA,train,446,252
TaskA,train,93,14
TaskA,train,444,59
TaskA,train,168,194
TaskA,train,271,103
TaskA,train,32,19
TaskA,train,42,11
TaskA,train,109,8
TaskA,train,121,47
TaskA,train,227,74
TaskA,train,177,46
TaskA,train,71,30
TaskA,train,18,7
TaskA,train,52,4
TaskA,train,393,97
TaskA,train,51,19
TaskA,train,28,11
TaskA,train,35,2
TaskA,train,357,139
TaskA,train,61,27
TaskA,train,39,4
TaskA,train,231,38
TaskA,train,20,5
TaskA,train,56,25
TaskA,train,758,296
TaskA,train,42,12
TaskA,train,403,172
TaskA,train,157,74
TaskA,train,29,18
TaskA,train,60,9
TaskA,train,41,2
TaskA,train,69,6
TaskA,train,258,175
TaskA,train,91,4
TaskA,train,60,20
TaskA,train,39,21
TaskA,train,133,64
TaskA,train,53,17
TaskA,train,133,49
TaskA,train,54,5
TaskA,train,27,3
TaskA,train,79,40
TaskA,train,360,129
TaskA,train,51,21
TaskA,train,81,22
TaskA,train,40,5
TaskA,train,113,58
TaskA,train,47,10
TaskA,train,94,38
TaskA,train,296,180
TaskA,train,70,10
TaskA,train,239,81
TaskA,train,131,16
TaskA,train,52,22
TaskA,train,18,2
TaskA,train,97,25
TaskA,train,266,121
TaskA,train,78,11
TaskA,train,13,5
TaskA,train,110,11
TaskA,train,84,37
TaskA,train,89,31
TaskA,train,289,65
TaskA,train,487,224
TaskA,train,62,24
TaskA,train,19,4
TaskA,train,322,163
TaskA,train,95,51
TaskA,train,79,49
TaskA,train,519,281
TaskA,train,80,22
TaskA,train,418,153
TaskA,train,446,180
TaskA,train,88,22
TaskA,train,111,23
TaskA,train,250,92
TaskA,train,549,324
TaskA,train,170,52
TaskA,train,16,4
TaskA,train,18,3
TaskA,train,287,14
TaskA,train,33,5
TaskA,train,355,157
TaskA,train,78,8
TaskA,train,87,21
TaskA,train,34,4
TaskA,train,112,34
TaskA,train,324,154
TaskA,train,164,39
TaskA,train,390,123
TaskA,train,101,49
TaskA,train,100,2
TaskA,train,52,4
TaskA,train,69,2
TaskA,train,252,124
TaskA,train,103,7
TaskA,train,189,50
TaskA,train,93,12
TaskA,train,27,9
TaskA,train,139,48
TaskA,train,142,43
TaskA,train,52,9
TaskA,train,420,359
TaskA,train,202,129
TaskA,train,35,14
TaskA,train,65,14
TaskA,train,75,21
TaskA,train,44,14
TaskA,train,85,42
TaskA,train,86,7
TaskA,train,51,9
TaskA,train,101,47
TaskA,train,153,74
TaskA,train,37,14
TaskA,train,288,109
TaskA,train,72,3
TaskA,train,228,116
TaskA,train,322,5
TaskA,train,102,11
TaskA,train,287,153
TaskA,train,309,59
TaskA,train,195,44
TaskA,train,187,15
TaskA,train,305,98
TaskA,train,741,281
TaskA,train,143,45
TaskA,train,30,8
TaskA,train,421,185
TaskA,train,192,36
TaskA,train,472,286
TaskA,train,38,4
TaskA,train,91,4
TaskA,train,317,120
TaskA,train,71,39
TaskA,train,41,8
TaskA,train,434,193
TaskA,train,143,36
TaskA,train,69,18
TaskA,train,67,38
TaskA,train,231,97
TaskA,train,103,7
TaskA,train,143,51
TaskA,train,18,2
TaskA,train,58,3
TaskA,train,114,51
TaskA,train,176,49
TaskA,train,114,69
TaskA,train,167,80
TaskA,train,27,5
TaskA,train,17,4
TaskA,train,78,34
TaskA,train,45,6
TaskA,train,45,7
TaskA,train,19,13
TaskA,train,294,11
TaskA,train,46,11
TaskA,train,34,2
TaskA,train,39,11
TaskA,train,101,45
TaskA,train,74,11
TaskA,train,36,3
TaskA,train,74,44
TaskA,train,142,43
TaskA,train,81,4
TaskA,train,200,85
TaskA,train,49,28
TaskA,train,27,6
TaskA,train,151,27
TaskA,train,482,200
TaskA,train,29,6
TaskA,train,50,10
TaskA,train,45,7
TaskA,train,397,144
TaskA,train,236,60
TaskA,train,37,14
TaskA,train,93,27
TaskA,train,62,22
TaskA,train,180,14
TaskA,train,79,28
TaskA,train,106,3
TaskA,train,58,7
TaskA,train,234,57
TaskA,train,98,27
TaskA,train,21,4
TaskA,train,63,15
TaskA,train,616,261
TaskA,train,248,147
TaskA,train,189,163
TaskA,train,55,16
TaskA,train,77,72
TaskA,train,172,82
TaskA,train,270,131
TaskA,train,50,18
TaskA,train,372,170
TaskA,train,177,135
TaskA,train,69,25
TaskA,train,243,121
TaskA,train,275,65
TaskA,train,132,44
TaskA,train,27,3
TaskA,train,47,7
TaskA,train,52,4
TaskA,train,56,7
TaskA,train,46,5
TaskA,train,173,12
TaskA,train,75,24
TaskA,train,53,13
TaskA,train,55,11
TaskA,train,65,3
TaskA,train,25,5
TaskA,train,451,200
TaskA,train,103,43
TaskA,train,62,26
TaskA,train,45,15
TaskA,train,49,7
TaskA,train,93,4
TaskA,train,41,7
TaskA,train,62,9
TaskA,train,131,35
TaskA,train,62,20
TaskA,train,285,138
TaskA,train,50,9
TaskA,train,258,137
TaskA,train,88,22
TaskA,train,63,15
TaskA,train,241,127
TaskA,train,90,9
TaskA,train,140,22
TaskA,train,188,31
TaskA,train,57,15
TaskA,train,13,8
TaskA,train,43,16
TaskA,train,129,13
TaskA,train,90,12
TaskA,train,156,39
TaskA,train,20,4
TaskA,train,13,2
TaskA,train,89,21
TaskA,train,83,21
TaskA,train,25,3
TaskA,train,147,129
TaskA,train,123,4
TaskA,train,30,6
TaskA,train,74,32
TaskA,train,187,11
TaskA,train,53,2
TaskA,train,189,38
TaskA,train,99,3
TaskA,train,44,29
TaskA,train,97,46
TaskA,train,233,13
TaskA,train,68,20
TaskA,train,92,4
TaskA,train,29,8
TaskA,train,22,2
TaskA,train,81,8
TaskA,train,31,10
TaskA,train,73,54
TaskA,train,521,280
TaskA,train,39,6
TaskA,train,14,2
TaskA,train,18,5
TaskA,train,60,9
TaskA,train,439,73
TaskA,train,68,26
TaskA,train,213,104
TaskA,train,105,12
TaskA,train,29,7
TaskA,train,654,428
TaskA,train,40,2
TaskA,train,36,24
TaskA,train,390,205
TaskA,train,101,8
TaskA,train,569,269
TaskA,train,34,3
TaskA,train,96,27
TaskA,train,54,14
TaskA,train,54,34
TaskA,train,193,65
TaskA,train,101,25
TaskA,train,107,44
TaskA,train,37,6
TaskA,train,445,255
TaskA,train,63,13
TaskA,train,94,25
TaskA,train,36,4
TaskA,train,55,9
TaskA,train,44,5
TaskA,train,138,50
TaskA,train,87,17
TaskA,train,235,39
TaskA,train,73,33
TaskA,train,29,7
TaskA,train,97,20
TaskA,train,128,22
TaskA,train,153,72
TaskA,train,45,9
TaskA,train,180,56
TaskA,train,64,6
TaskA,train,133,32
TaskA,train,22,8
TaskA,train,893,424
TaskA,train,88,4
TaskA,train,47,20
TaskA,train,117,56
TaskA,train,112,45
TaskA,train,309,153
TaskA,train,28,7
TaskA,train,251,129
TaskA,train,25,4
TaskA,train,364,97
TaskA,train,76,67
TaskA,train,33,7
TaskA,train,385,168
TaskA,train,372,171
TaskA,train,634,291
TaskA,train,30,2
TaskA,train,66,24
TaskA,train,33,17
TaskA,train,49,12
TaskA,train,43,11
TaskA,train,71,15
TaskA,train,315,161
TaskA,train,91,6
TaskA,train,81,13
TaskA,train,66,17
TaskA,train,357,167
TaskA,train,163,19
TaskA,train,58,24
TaskA,train,46,16
TaskA,train,36,4
TaskA,train,61,32
TaskA,train,105,41
TaskA,train,67,17
TaskA,train,93,44
TaskA,train,191,122
TaskA,train,219,71
TaskA,train,159,46
TaskA,train,22,5
TaskA,train,464,148
TaskA,train,76,4
TaskA,train,142,22
TaskA,train,220,118
TaskA,train,37,5
TaskA,train,61,16
TaskA,train,179,17
TaskA,train,98,47
TaskA,train,45,7
TaskA,train,75,15
TaskA,train,143,58
TaskA,train,281,81
TaskA,train,31,4
TaskA,train,40,55
TaskA,train,465,387
TaskA,train,63,10
TaskA,train,66,25
TaskA,train,280,146
TaskA,train,561,196
TaskA,train,313,154
TaskA,train,345,135
TaskA,train,205,111
TaskA,train,59,21
TaskA,train,24,5
TaskA,train,100,9
TaskA,train,487,343
TaskA,train,60,22
TaskA,train,11,2
TaskA,train,627,299
TaskA,train,27,2
TaskA,train,146,4
TaskA,train,383,97
TaskA,train,90,19
TaskA,train,47,7
TaskA,train,117,5
TaskA,train,250,63
TaskA,train,209,56
TaskA,train,301,89
TaskA,train,71,14
TaskA,train,374,221
TaskA,train,45,16
TaskA,train,79,31
TaskA,train,45,4
TaskA,train,150,46
TaskA,train,553,214
TaskA,train,16,2
TaskA,train,462,185
TaskA,train,26,13
TaskA,train,13,2
TaskA,train,100,12
TaskA,train,263,132
TaskA,train,177,98
TaskA,train,249,62
TaskA,train,80,16
TaskA,train,46,8
TaskA,train,63,25
TaskA,train,323,144
TaskA,train,258,121
TaskA,train,65,26
TaskA,train,93,51
TaskA,train,13,2
TaskA,train,162,83
TaskA,train,308,29
TaskA,train,35,7
TaskA,train,20,2
TaskA,train,13,3
TaskA,train,28,7
TaskA,train,92,28
TaskA,train,349,157
TaskA,train,99,34
TaskA,train,15,2
TaskA,train,73,45
TaskA,train,57,11
TaskA,train,120,43
TaskA,train,120,22
TaskA,train,445,162
TaskA,train,228,127
TaskA,train,38,28
TaskA,train,63,26
TaskA,train,579,116
TaskA,train,44,17
TaskA,train,43,7
TaskA,train,40,5
TaskA,train,21,12
TaskA,train,36,6
TaskA,train,114,21
TaskA,train,17,2
TaskA,train,84,17
TaskA,train,312,139
TaskA,train,217,59
TaskA,train,20,7
TaskA,train,98,6
TaskA,train,667,292
TaskA,train,22,5
TaskA,train,74,16
TaskA,train,22,6
TaskA,train,15,2
TaskA,train,137,10
TaskA,train,76,14
TaskA,train,22,4
TaskA,train,47,6
TaskA,train,147,32
TaskA,train,206,69
TaskA,train,13,15
TaskA,train,36,2
TaskA,train,24,2
TaskA,train,56,14
TaskA,train,341,272
TaskA,train,103,42
TaskA,train,75,17
TaskA,train,504,176
TaskA,train,147,41
TaskA,train,101,19
TaskA,train,646,205
TaskA,train,98,16
TaskA,train,72,25
TaskA,train,59,20
TaskA,train,63,9
TaskA,train,240,97
TaskA,train,18,10
TaskA,train,216,106
TaskA,train,64,18
TaskA,train,135,84
TaskA,train,147,50
TaskA,train,27,4
TaskA,train,46,23
TaskA,train,217,68
TaskA,train,76,39
TaskA,train,127,5
TaskA,train,405,120
TaskA,train,110,27
TaskA,train,21,4
TaskA,train,401,166
TaskA,train,16,5
TaskA,train,182,101
TaskA,train,209,77
TaskA,train,62,20
TaskA,train,218,138
TaskA,train,43,6
TaskA,train,706,372
TaskA,train,251,74
TaskA,train,112,23
TaskA,train,37,4
TaskA,train,55,4
TaskA,train,12,5
TaskA,train,73,31
TaskA,train,848,273
TaskA,train,126,49
TaskA,train,77,19
TaskA,train,42,14
TaskA,train,26,4
TaskA,train,395,180
TaskA,train,44,6
TaskA,train,393,137
TaskA,train,50,20
TaskA,train,132,72
TaskA,train,88,36
TaskA,train,13,7
TaskA,train,51,18
TaskA,train,38,8
TaskA,train,71,18
TaskA,train,154,56
TaskA,train,97,67
TaskA,train,72,25
TaskA,train,187,91
TaskA,train,220,111
TaskA,train,67,31
TaskA,train,39,7
TaskA,train,42,7
TaskA,train,15,5
TaskA,train,33,17
TaskA,train,294,160
TaskA,train,118,93
TaskA,train,78,29
TaskA,train,117,40
TaskA,train,54,26
TaskA,train,80,43
TaskA,train,324,177
TaskA,train,69,18
TaskA,train,277,130
TaskA,train,175,31
TaskA,train,86,8
TaskA,train,114,35
TaskA,train,52,15
TaskA,train,54,11
TaskA,train,298,175
TaskA,train,157,52
TaskA,train,31,6
TaskA,train,104,55
TaskA,train,104,27
TaskA,train,25,8
TaskA,train,73,13
TaskA,train,11,6
TaskA,train,119,26
TaskA,train,84,9
TaskA,train,38,12
TaskA,train,84,8
TaskA,train,490,335
TaskA,train,45,13
TaskA,train,116,17
TaskA,train,154,33
TaskA,train,41,11
TaskA,train,527,238
TaskA,train,133,11
TaskA,train,32,8
TaskA,train,69,19
TaskA,train,27,4
TaskA,train,139,58
TaskA,train,110,4
TaskA,train,190,34
TaskA,train,149,5
TaskA,train,288,90
TaskA,train,159,40
TaskA,train,90,69
TaskA,train,275,86
TaskA,train,179,116
TaskA,train,112,17
TaskA,train,177,4
TaskA,train,521,124
TaskA,train,124,15
TaskA,train,101,30
TaskA,train,110,23
TaskA,train,192,79
TaskA,train,379,147
TaskA,train,300,165
TaskA,train,26,2
TaskA,train,31,2
TaskA,train,34,2
TaskA,train,38,8
TaskA,train,29,4
TaskA,train,308,139
TaskA,train,511,170
TaskA,train,50,9
TaskA,train,186,42
TaskA,train,248,56
TaskA,train,116,30
TaskA,train,63,52
TaskA,train,19,13
TaskA,train,69,18
TaskA,train,284,68
TaskA,train,1192,506
TaskA,train,451,171
TaskA,train,364,181
TaskA,train,79,14
TaskA,train,22,4
TaskA,train,204,84
TaskA,train,83,2
TaskA,train,611,270
TaskA,train,378,239
TaskA,train,79,24
TaskA,train,241,41
TaskA,train,17,4
TaskA,train,24,10
TaskA,train,23,4
TaskA,train,123,14
TaskA,train,21,13
TaskA,train,203,46
TaskA,train,95,22
TaskA,train,341,136
TaskA,train,2176,1426
TaskA,train,27,4
TaskA,train,121,58
TaskA,train,106,31
TaskA,train,82,5
TaskA,train,122,11
TaskA,train,84,5
TaskA,train,176,17
TaskA,train,161,42
TaskA,train,123,20
TaskA,train,229,124
TaskA,train,40,19
TaskA,train,57,4
TaskA,train,139,25
TaskA,train,140,91
TaskA,train,68,16
TaskA,train,51,8
TaskA,train,265,119
TaskA,train,46,16
TaskA,train,85,15
TaskA,train,57,4
TaskA,train,154,39
TaskA,train,177,112
TaskA,train,189,60
TaskA,train,753,534
TaskA,train,73,12
TaskA,train,58,5
TaskA,train,455,222
TaskA,train,37,18
TaskA,train,326,136
TaskA,train,89,23
TaskA,train,92,33
TaskA,train,66,6
TaskA,train,127,20
TaskA,train,27,10
TaskA,train,160,19
TaskA,train,29,9
TaskA,train,31,21
TaskA,train,72,27
TaskA,train,35,16
TaskA,train,211,101
TaskA,train,185,23
TaskA,train,502,470
TaskA,train,59,42
TaskA,train,58,6
TaskA,train,36,21
TaskA,train,103,52
TaskA,train,468,287
TaskA,train,417,136
TaskA,train,63,17
TaskA,train,165,48
TaskA,train,33,4
TaskA,train,75,6
TaskA,train,35,4
TaskA,train,43,4
TaskA,train,113,44
TaskA,train,56,5
TaskA,train,161,52
TaskA,train,14,4
TaskA,train,22,6
TaskA,train,411,119
TaskA,train,127,20
TaskA,train,59,16
TaskA,train,33,4
TaskA,train,482,173
TaskA,train,228,144
TaskA,train,52,24
TaskA,train,309,132
TaskA,train,38,10
TaskA,train,504,248
TaskA,train,86,44
TaskA,train,145,118
TaskA,train,269,62
TaskA,train,93,17
TaskA,train,53,11
TaskA,train,54,4
TaskA,train,54,23
TaskA,train,90,21
TaskA,train,144,22
TaskA,train,150,110
TaskA,train,19,3
TaskA,train,41,4
TaskA,train,151,34
TaskA,train,505,377
TaskA,train,233,27
TaskA,train,102,32
TaskA,validation,309,202
TaskA,validation,143,51
TaskA,validation,60,15
TaskA,validation,63,4
TaskA,validation,38,6
TaskA,validation,87,45
TaskA,validation,27,8
TaskA,validation,54,6
TaskA,validation,70,47
TaskA,validation,458,176
TaskA,validation,121,35
TaskA,validation,46,18
TaskA,validation,26,6
TaskA,validation,222,123
TaskA,validation,553,377
TaskA,validation,46,9
TaskA,validation,174,97
TaskA,validation,118,13
TaskA,validation,224,152
TaskA,validation,47,9
TaskA,validation,72,34
TaskA,validation,106,47
TaskA,validation,131,58
TaskA,validation,19,7
TaskA,validation,254,87
TaskA,validation,162,91
TaskA,validation,21,4
TaskA,validation,83,33
TaskA,validation,32,24
TaskA,validation,137,18
TaskA,validation,148,63
TaskA,validation,23,4
TaskA,validation,189,50
TaskA,validation,85,42
TaskA,validation,49,24
TaskA,validation,25,7
TaskA,validation,88,58
TaskA,validation,794,279
TaskA,validation,128,77
TaskA,validation,213,72
TaskA,validation,36,3
TaskA,validation,424,72
TaskA,validation,68,11
TaskA,validation,343,163
TaskA,validation,76,25
TaskA,validation,42,18
TaskA,validation,97,57
TaskA,validation,42,25
TaskA,validation,106,20
TaskA,validation,42,8
TaskA,validation,119,41
TaskA,validation,69,4
TaskA,validation,21,13
TaskA,validation,257,145
TaskA,validation,41,11
TaskA,validation,107,13
TaskA,validation,213,73
TaskA,validation,31,2
TaskA,validation,48,3
TaskA,validation,423,158
TaskA,validation,63,11
